Time,Calculated load value,Time,Engine RPM,Time,Vehicle speed,Time,Intake air temperature,Time,Time since engine start,Time,Barometric pressure,Time,Control module voltage,Time,Relative throttle position,Time,Accelerator pedal position D,Time,Engine coolant temperature,Time,Commanded throttle actuator control,Time,Fuel rate,Time,Instant fuel economy,Time,Total fuel economy
3.6472537,22.35294,3.7181702,874,3.6272559,0,36.8451661,60.8,36.8512309,382,3.7268504,14.50377,36.8631659,12.907,3.7333173,2.745098,3.7392996,19.60784,73.2031707,134.6,3.7490831,9.019608,3.6332675,0.2944008,3.6332675,0,3.6332675,31.82071
3.7112968,22.35294,3.7899079,865,3.6882877,0,37.6782851,60.8,37.6842261,383,3.7972747,14.50377,37.6972307,12.857,3.8033574,7.843137,3.8104016,19.60784,74.6532486,134.6,3.8235843,9.019608,3.6952726,0.2943917,3.6952726,0,3.6952726,31.82044
3.7805642,22.35294,3.6532506,885,3.7584044,0,38.5212212,60.8,38.5272041,384,4.1190923,14.50377,38.5402294,12.907,4.1253228,4.705883,4.1312831,19.60784,76.1763103,134.6,4.1373039,5.098039,3.7653211,0.2926701,3.7653211,0,3.7653211,31.82014
4.0833423,31.76471,4.0887931,895,4.0634779,0,39.1614528,60.8,39.1683478,385,4.1912963,14.50377,39.1822806,12.907,4.2042957,4.705883,4.2103307,19.60784,77.7513242,136.4,4.2172925,5.098039,4.0701068,0.4174853,4.0701068,0,4.0701068,31.81825
4.1653129,31.76471,4.171334,879,4.1473257,0,39.922295,60.8,39.9283799,385,4.255313,14.64881,39.942363,13.71,4.2613214,4.705883,4.2682974,19.60784,79.134549,136.4,4.2753336,5.098039,4.1532801,0.4433091,4.1532801,0,4.1532801,31.8177
4.2433052,34.5098,4.2493018,863,4.2233004,0,40.6203474,60.8,40.6273487,386,4.3172855,14.64881,40.6403362,14.285,4.3446915,4.705883,4.3512958,19.60784,80.726709,136.4,4.3573122,5.098039,4.2304139,0.4544994,4.2304139,0,4.2304139,31.81718
4.3012946,34.5098,4.3093087,859,4.2813342,0,41.5563968,60.8,41.5624241,387,4.3952947,14.64881,41.5744504,14.285,4.4010024,4.705883,4.408316,19.60784,82.2947001,136.4,4.4203422,5.098039,4.2888846,0.4544994,4.2888846,0,4.2888846,31.81679
4.3813041,34.5098,4.3883095,856,4.3633118,0,42.2474014,60.8,42.253627,388,4.4633183,14.50377,42.2674348,14.31,4.4693024,4.705883,4.4753097,19.60784,83.6028004,138.2,4.4813183,5.098039,4.3693116,0.4433091,4.3693116,0,4.3693116,31.81626
4.4493244,35.68628,4.4563481,862,4.4293076,0,42.9854807,60.8,42.9915154,388,4.5263061,14.50377,43.0044754,14.285,4.5333067,4.705883,4.5393125,19.60784,84.9378307,138.2,4.5453278,5.490196,4.4353896,0.4656897,4.4353896,0,4.4353896,31.8158
4.5117749,35.68628,4.5193283,862,4.489327,0,43.7175823,60.8,43.7245359,389,4.5893306,14.50377,43.7365106,14.26,4.5953602,4.705883,4.6030558,19.60784,86.4549706,138.2,4.6093339,5.490196,4.4965105,0.4656897,4.4965105,0,4.4965105,31.81538
4.5773448,35.68628,4.5833186,861,4.5522147,0.6213712,44.5437102,60.8,44.5515901,390,4.6491118,14.50377,44.5922831,14.285,4.658476,4.705883,4.6653303,19.60784,87.9871195,138.2,4.6713793,5.490196,4.5593334,0.4786017,4.5593334,1.298306,4.5593334,31.81495
4.6353576,37.2549,4.642341,870,4.61734,0.6213712,45.3826713,60.8,45.3886297,391,4.9412295,14.50377,45.4016153,14.31,4.9473613,4.705883,4.9533289,19.60784,89.3790806,138.2,4.9595161,5.098039,4.6233817,0.4906528,4.6233817,1.266417,4.6233817,31.8145
4.9292396,38.43137,4.935231,944,4.9092403,0.6213712,46.2626249,60.8,46.268617,392,5.0012525,14.50377,46.2816591,14.385,5.0073389,4.705883,5.013359,19.60784,90.7920448,138.2,5.0203548,5.098039,4.9172306,0.4906375,4.9172306,1.266457,4.9172306,31.81244
4.9892568,38.43137,4.9952908,951,4.9703477,0.6213712,47.1057057,60.8,47.1116989,393,5.1003456,14.64881,47.1267058,14.335,5.1133677,4.705883,5.1193654,19.60784,92.4349472,138.2,5.1253697,5.098039,4.9762761,0.4906375,4.9762761,1.266457,4.9762761,31.81203
